1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0.5,0.26,0.1,0.9,0.9,0.9,0.1,0.36700000000000005,0.42,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.36700000000000005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5710000000000001
0.5,0.26,0.1,0.1,0.1,0.5,0.1,0.36700000000000005,0.58,0.42,0.26,0.1,0.9,0.1,0.9,0.1,0.1,0.26,0.9,0.36700000000000005,0.1,0.1,0.1,0.5,0.36700000000000005,0.9,0.9
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.36700000000000005,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.633,0.633,0.1,0.1,0.5,0.5,0.36700000000000005,0.36700000000000005,0.833
0.1,0.74,0.7,0.1,0.5,0.1,0.1,0.36700000000000005,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.36700000000000005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5820000000000001
0.1,0.42,0.4,0.1,0.5,0.1,0.1,0.36700000000000005,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.36700000000000005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5870000000000001
0.3,0.42,0.3,0.9,0.9,0.1,0.1,0.36700000000000005,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.633,0.633,0.633,0.9,0.9,0.1,0.36700000000000005,0.1,0.5489999999999999
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.36700000000000005,0.26,0.42,0.42,0.1,0.1,0.5,0.5,0.1,0.5,0.26,0.36700000000000005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.742
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.36700000000000005,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.36700000000000005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.634
0.9,0.42,0.1,0.1,0.1,0.1,0.9,0.1,0.58,0.42,0.42,0.1,0.5,0.5,0.5,0.1,0.5,0.26,0.36700000000000005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.639
0.5,0.26,0.1,0.9,0.9,0.9,0.1,0.36700000000000005,0.42,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.36700000000000005,0.1,0.9,0.9,0.9,0.36700000000000005,0.633,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.42,0.26,0.1,0.9,0.1,0.9,0.1,0.1,0.26,0.36700000000000005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.547
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.58,0.26,0.1,0.1,0.1,0.5,0.1,0.5,0.58,0.36700000000000005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.568
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.42,0.9,0.7,0.1,0.5,0.5,0.1,0.5,0.26,0.36700000000000005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.516
0.5,0.26,0.1,0.1,0.1,0.5,0.1,0.36700000000000005,0.58,0.42,0.26,0.1,0.9,0.1,0.9,0.1,0.1,0.26,0.36700000000000005,0.36700000000000005,0.1,0.1,0.1,0.1,0.36700000000000005,0.1,0.9
0.9,0.26,0.1,0.1,0.5,0.1,0.1,0.1,0.9,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.36700000000000005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5379999999999999
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.36700000000000005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.531
